price,spec_rating,Ram,ROM,display_size,resolution_width,resolution_height,warranty
49900,73,8,512,15.6,1920,1080,1
39900,60,8,512,15.6,1920,1080,1
26990,69.32352941,8,512,14,1920,1080,1
59729,66,16,512,14,2240,1400,1
69990,69.32352941,8,256,13.3,2560,1600,1
39990,62,8,512,14,1920,1080,1
36790,60,8,512,15.6,1920,1080,1
76990,63,16,512,15.6,1920,1080,1
48990,64,8,512,15.6,1920,1080,1
74990,68,16,512,13.3,1080,1920,1
49990,69.32352941,16,512,15.6,1920,1080,1
10990,69.32352941,4,128,14.1,1366,768,1
72990,76,16,512,15.6,1920,1080,1
10990,69.32352941,4,64,11.6,1366,768,1
29990,69.32352941,8,512,15.6,1920,1080,1
53649,70,8,512,15.6,1920,1080,1
33990,69.32352941,8,512,14,1920,1080,1
79990,71,32,1024,15.6,1920,1080,1
68990,65,16,512,15.6,1920,1080,1
45990,71,8,512,15.6,1920,1080,1
49900,65,8,512,16,1920,1200,1
104990,69.32352941,8,256,13.6,2560,1664,1
54990,72,16,512,15.6,1920,1080,1
49580,64,16,512,15.6,1920,1080,1
55990,71,16,512,16,1920,1200,1
43990,63,16,512,15.6,1920,1080,1
19850,69.32352941,4,256,15.6,1366,768,1
28990,69.32352941,8,512,15.6,1920,1080,1
54999,71,16,512,15.6,1920,1080,1
70990,69.32352941,16,512,15.6,1920,1080,1
56889,60,8,512,15.6,1920,1080,1
179880,78,16,1024,16,1920,1200,1
53790,71,16,512,15.6,1920,1080,1
37990,60,16,512,15.6,1920,1080,1
96990,77,16,1024,15.6,2560,1440,1
71990,66,16,512,15.6,1920,1080,1
59990,75,16,512,16.1,1920,1080,1
62990,60,16,1024,14,1920,1200,1
30990,69.32352941,8,512,14,1920,1080,1
74990,70,16,512,15.6,1920,1080,1
36490,60,8,512,15.6,1920,1080,1
77990,73,16,1024,15.6,1920,1080,1
54990,62,16,512,15.6,1920,1080,1
41190,69.32352941,8,256,15.6,1920,1080,1
89990,70,16,512,16,1920,1200,1
